Threshold,Ratio,Approved Loan
0.01,,1
0.02,,9
0.03,12.5,27
0.04,11.428571428571429,87
0.05,14.368421052631579,292
0.060000000000000005,15.333333333333334,686
0.06999999999999999,14.647727272727273,1377
0.08,14.583333333333334,2431
0.09,13.38022813688213,3782
0.09999999999999999,11.765661252900232,5502
0.11,10.636363636363637,7424
0.12,9.777277840269965,9581
0.13,9.34865568083261,11932
0.14,8.739959155888359,14308
0.15000000000000002,8.214009928295642,16705
0.16,7.797597042513863,19038
0.17,7.284824902723735,21292
0.18000000000000002,6.996590521650187,23454
0.19,6.67919422730006,25541
0.2,6.471339309970117,27502
0.21000000000000002,6.193825042881647,29358
0.22,5.98967684021544,31146
0.23,5.796062176165803,32791
0.24000000000000002,5.638582219639744,34275
0.25,5.48432944606414,35586
0.26,5.350937553758817,36918
0.27,5.2264120143650015,38143
0.28,5.098882334678671,39289
0.29000000000000004,4.9655172413793105,40309
0.3,4.854486087450312,41239
0.31,4.7743350699204825,42118
0.32,4.683841059602649,42913
0.33,4.598487761117519,43685
0.34,4.514285714285714,44390
0.35000000000000003,4.444148936170213,45034
0.36000000000000004,4.376075427224514,45616
0.37,4.301858650757228,46211
0.38,4.253036437246964,46710
0.39,4.1970931512882625,47200
0.4,4.1404682274247495,47647
0.41000000000000003,4.0832980972515855,48088
0.42000000000000004,4.035640066500416,48463
0.43,3.992026985587243,48837
0.44,3.9484702093397748,49168
0.45,3.9181338903809806,49442
0.46,3.8801766437684004,49729
0.47000000000000003,3.8582125838763006,49957
0.48000000000000004,3.8222350341116558,50185
0.49,3.80308953942977,50370
0.5,3.781625508562778,50537
0.51,3.758355238452873,50686
0.52,3.740899757326862,50794
0.53,3.723268107205787,50931
0.54,3.709394610557401,51031
0.55,3.699310344827586,51105
0.56,3.689974340175953,51177
0.5700000000000001,3.681681132937414,51241
0.5800000000000001,3.6734080349822356,51300
0.59,3.6662426169922764,51352
0.6,3.658810732414793,51396
0.61,3.653334539860646,51424
0.62,3.6498553868402026,51446
0.63,3.64578443762412,51466
0.64,3.6423226039130827,51488
0.65,3.641312184571017,51500
0.66,3.6403603603603605,51508
0.67,3.6394992795389047,51517
0.68,3.637893789378938,51527
0.6900000000000001,3.6350391222232217,51537
0.7000000000000001,3.6352189945138953,51539
0.7100000000000001,3.6339117144655217,51543
0.72,3.6335850413520316,51544
0.73,3.632931871292468,51546
0.74,3.632278936017254,51548
0.75,3.6319525563842214,51549
0.76,3.6312999730482436,51551
0.77,3.63097376931369,51552
0.78,3.63097376931369,51552
0.79,3.63097376931369,51552
0.8,3.6310636004311894,51553
0.81,3.6310636004311894,51553
0.8200000000000001,3.630737447228959,51554
0.8300000000000001,3.630737447228959,51554
0.8400000000000001,3.630737447228959,51554
0.85,3.630737447228959,51554
0.86,3.630737447228959,51554
0.87,3.630737447228959,51554
0.88,3.630737447228959,51554
0.89,3.630737447228959,51554
0.9,3.630737447228959,51554
0.91,3.6308272702775533,51555
0.92,3.6308272702775533,51555
0.93,3.6308272702775533,51555
0.9400000000000001,3.6308272702775533,51555
0.9500000000000001,3.6309170933261474,51556
0.9600000000000001,3.6309170933261474,51556
0.97,3.6309170933261474,51556
0.98,3.6309170933261474,51556
0.99,3.6309170933261474,51556
